"ean","name","brand","pack_size","category","image_url","source"
"05011417568996","Strepsils Throat Pain Honey & Lemon X24","STREPSILS","","Health & Beauty > Medicine > Sore Throat","https://digitalcontent.api.tesco.com/v2/media/ghs/5b12730f-428a-474f-a4ca-9f54fc13a11a/93f7fcb3-5268-4796-9403-264f9f88376c_1356534480.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000316030055","Dairy Pride Uht Skimmed Milk 1 Litre","DP","1L","Fresh Food > Milk, Butter & Eggs > Milk","https://digitalcontent.api.tesco.com/v2/media/ghs/d2fdb6c5-897e-42b6-97ce-3694e015cdf3/d3632bad-28c4-4448-9d18-36a98474b0fb_2123041940.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059512336768","Fox & Ivy Malmo Cereal Bowl","Fox & Ivy","","Home & Ents > Cooking & Dining > Tableware","https://digitalcontent.api.tesco.com/v2/media/ghs/43113173-2d87-47d9-9238-4923a0e38b21/3273b4b3-2944-4f84-89fe-2aca072dc042_2090331564.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"07622201695521","Philadelphia Original Soft Cheese 280G","PHILADELPHIA","280G","Fresh Food > Cheese > Cottage Cheese & Soft Cheese","https://digitalcontent.api.tesco.com/v2/media/ghs/c6041f54-fc64-4125-ab23-7a12ccf31fff/06096e7c-ff1d-4009-b171-4b62ee12fcc8_1014290229.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"01230000043014","Halo Top Peanut Butter Swirl Sticks 3 X 100Ml","HALO TOP","300ML","Frozen Food > Ice Cream, Ice Lollies & Frozen Desserts > Ice Cream Sticks","https://digitalcontent.api.tesco.com/v2/media/ghs/6e15996f-423f-457d-b919-7140933538ac/b08aebfd-1772-4826-9162-85646a9b8569.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"00000003341162","Tesco Tuna Chunks In Sunflower Oil 145G","TESCO","102G","Food Cupboard > Tins, Cans & Packets > Tinned Fish & Seafood","https://digitalcontent.api.tesco.com/v2/media/ghs/f4520c00-1202-40c1-87ed-63e9db95870c/ff91f26d-82bc-4bdb-bd55-6bab4ad6e6dd_310314048.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059512738920","Tesco Vegetable Suet 200G","TESCO","200G","Food Cupboard > Home Baking & Sugar > Suet","https://digitalcontent.api.tesco.com/v2/media/ghs/8ac91681-80a5-49aa-b38b-72a6c6ca1617/97b68fcf-538a-464d-bd35-0917ee793878_652417935.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000239058440","Good Boy Wagtastic Jumbo Twist Chicken 70G","WAGTASTIC","70G","Pets > Dog Food & Accessories > Dog Treats, Dental Chews & Biscuits","https://digitalcontent.api.tesco.com/v2/media/ghs/ddec5dec-6c5b-4fc3-a90e-bbeabf8022dc/345f7f4d-e146-4be0-8e8e-79ef053275bb_627641552.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05057753440473","Fred & Flo Easy Fit Pants Size 4 42Pk","FRED & FLO","","Baby > Nappies & Pants > Size 4 & 4+ Nappies & Pants","https://digitalcontent.api.tesco.com/v2/media/ghs/05b12aaf-3951-4361-b29f-06241bf21680/03e3411d-5dc3-41ae-b4f9-1655053d8a6d_1548980284.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059697737619","Tesco Sweet And Sour Chicken 400G","TESCO","400G","Fresh Food > Ready Meals > Ready Meals for 1","https://digitalcontent.api.tesco.com/v2/media/ghs/54ffb176-9e78-4723-a222-0334daac26cd/34267fb1-3c2d-4042-b8e6-e3ac4911f41b.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05052675001153","The Spice Tailor Punjabi Chickpea Masala 400G","THE SPICE TAILOR","400G","Food Cupboard > Cooking Sauces, Meal Kits & Sides > Meal Kits","https://digitalcontent.api.tesco.com/v2/media/ghs/635dfac4-bfb5-4505-b706-bed714dcafbf/6445cba2-99b2-4137-8042-61ae141042e2_645733228.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05000161004232","Winalot Shapes 800G","WINALOT","0.8KG","Pets > Dog Food & Accessories > Bulk Dog Food","https://digitalcontent.api.tesco.com/v2/media/ghs/e2c19a5a-5d12-4a75-ba26-238f9ec4b104/694c96ca-400d-45c7-be8f-8b189a904075_1581086486.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05011408027976","L'oreal Paris Elnett Normal Strength Hair Spray 400Ml","ELNETT","400ML","Health & Beauty > Haircare & Styling > Hairspray","https://digitalcontent.api.tesco.com/v2/media/ghs/7d8109e2-0033-4d3d-9a8f-b371a70ccf38/b091a494-8a11-4174-9292-eb9a6bbcb1a7_317005695.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05038581095882","Yankee 6 Wax Melts Cosy Up","YANKEE CANDLE","","Home & Ents > Home Accessories > Candles","https://digitalcontent.api.tesco.com/v2/media/ghs/b16c45fc-da8a-465a-9702-52a178cc3221/e64fa637-e99d-4677-9823-2b7f9bcabe77_1834845549.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"09335782000025","Biore Ultra Pore Strips X6ct","BIORE","","Health & Beauty > Face Skincare > Spot Treatment","https://digitalcontent.api.tesco.com/v2/media/ghs/6802cfdf-1cd1-4052-a184-8ffebabd06ff/39d41abb-8376-4ca3-992d-4416c5bb639c_94784001.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05011417549247","Veet In Shower Cream Sensitive 150Ml","VEET","150ML","Health & Beauty > Women's Toiletries > Hair Removal","https://digitalcontent.api.tesco.com/v2/media/ghs/231a9210-e508-455e-8eb8-3d5088ba2e36/fb6568da-5858-4383-ba38-435a975f2bce_156147734.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05010134909518","Kumala Reserve Chenin Blanc 75Cl","KUMALA","75CL","Drinks > Wine > White Wine","https://digitalcontent.api.tesco.com/v2/media/ghs/9cfed0a1-d346-4446-b4d3-18bbd118a5fb/90e01084-b2b7-4718-8045-aaccd8a3d46e_1049773011.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"08001090910004","Fairy Fresh In-Wash Scent Booster 320G","FAIRY","320G","Household > Laundry > Scent Boosters","https://digitalcontent.api.tesco.com/v2/media/ghs/e1d9f528-454a-4646-b131-226802ead8c8/f1a40695-e7e0-45eb-b4bb-ff9bb2847fce_903222690.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05057967732586","Tesco 3.1A Dual Port Car Charger","TESCO HOME","","Home & Ents > Electrical > Mobile Phone Accessories","https://digitalcontent.api.tesco.com/v2/media/ghs/d35a6887-387b-4bb1-9874-b55eaf580321/95d09172-bfa1-4190-a860-ba2244b04d80_1817979915.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05055958705564","Graze Lively Lemon Flapjack 3X53g","GRAZE","159G","Food Cupboard > Biscuits & Cereal Bars > Cereal Bars & On the Go Snack Bars","https://digitalcontent.api.tesco.com/v2/media/ghs/7b4b8463-0619-458b-9483-9964324c0198/1064c9ce-555e-4e3b-9b1d-66bcacb1ae27_1883519731.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05052109903343","Tesco Battered Haddock Goujons 200G","TESCO","200G","Fresh Food > Chilled Fish & Seafood > Breaded and Prepared","https://digitalcontent.api.tesco.com/v2/media/ghs/eeeb3d85-ac28-4c63-be87-9c377c6a3968/514afede-acf8-44d9-bb3f-17720b49b552.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"07794450000781","Alamos Malbec 75Cl","ALAMOS","75CL","Drinks > Wine > Red Wine","https://digitalcontent.api.tesco.com/v2/media/ghs/2291d8e0-6040-4cfe-9f25-cd4f7d2e260c/7b631beb-cc77-4bf2-bb15-fef011239b96_1004974635.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"00071164333068","Hask Argan Oil Conditioner 50Ml","HASK","50ML","Health & Beauty > Conditioner > Natural Conditioner","https://digitalcontent.api.tesco.com/v2/media/ghs/abfcf277-ac48-42f6-9821-68c9121375dc/8bf0329a-ba36-4f1b-a805-2739ca8187de_146136485.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
"05059512727924","Tesco 2 Beef Medallion Steaks 340G","TESCO","340G","Fresh Food > Fresh Meat & Poultry > Fresh Beef","https://digitalcontent.api.tesco.com/v2/media/ghs/a7d684fe-ab26-41ab-87c2-8e8bd97d30b8/9e7efb1e-d9e4-438e-99d7-0ae01a4d82a1.jpeg","kaggle:crawlfeeds/tesco-uk-groceries-dataset"
